exp_name,exp_time,train_time,train_time_epoch,val_time_epoch,acc,loss,last_test_time_consumption
43,exp(TestAvgPooling)_gdbls_on_cifar100,"07/23/2022, 05:30:13",974.41,14.122,6.622,0.6375,2.0728,
44,exp(TestAvgPooling)_gdbls_on_svhn,"07/23/2022, 06:24:09",1788.058,20.319,5.286,0.9679,0.5935,
45,exp(TestAvgPooling)_gdbls_on_cifar10,"07/23/2022, 07:00:07",1059.064,14.508,6.825,0.9065,0.7381,
46,exp(TestAvgPooling)_gdbls_on_cifar100,"07/23/2022, 07:37:57",1101.3,14.119,6.938,0.6412,2.0724,
47,exp(TestAvgPooling)_gdbls_on_svhn,"07/23/2022, 08:18:47",1301.37,20.334,6.42,0.9655,0.6016,
48,exp(TestAvgPooling)_gdbls_on_cifar10,"07/23/2022, 09:05:17",1464.557,14.501,5.082,0.9127,0.7318,
49,exp(TestAvgPooling)_gdbls_on_cifar100,"07/23/2022, 09:38:30",916.094,14.094,8.269,0.6351,2.081,
50,exp(TestAvgPooling)_gdbls_on_svhn,"07/23/2022, 10:36:11",1886.664,20.287,5.777,0.9659,0.5973,
51,exp(TestAvgPooling)_gdbls_on_cifar10,"07/23/2022, 11:08:12",897.892,14.482,7.844,0.9077,0.7372,
52,exp(TestAvgPooling)_gdbls_on_cifar100,"07/23/2022, 11:50:13",1141.979,14.099,8.96,0.649,2.0383,
53,exp(TestAvgPooling)_gdbls_on_svhn,"07/23/2022, 12:43:33",1746.799,20.312,5.671,0.9641,0.6016,
54,exp(TestAvgPooling)_gdbls_on_cifar10,"07/23/2022, 13:21:21",1116.872,14.505,6.72,0.9101,0.7365,
55,exp(TestAvgPooling)_gdbls_on_cifar100,"07/23/2022, 13:59:44",1041.861,14.079,8.871,0.649,2.0407,
56,exp(TestAvgPooling)_gdbls_on_svhn,"07/23/2022, 14:38:38",1134.253,20.255,9.702,0.9642,0.6068,
57,exp(TestAvgPooling)_gdbls_on_cifar10,"07/23/2022, 15:13:51",998.754,14.475,7.578,0.9075,0.744,
58,exp(TestAvgPooling)_gdbls_on_cifar100,"07/23/2022, 16:07:17",1338.622,14.091,11.71,0.6499,2.0456,
59,exp(TestAvgPooling)_gdbls_on_svhn,"07/23/2022, 16:57:50",1541.262,20.28,8.296,0.9657,0.5981,
60,exp(TestAvgPooling)_gdbls_on_cifar10,"07/23/2022, 17:27:43",826.107,14.493,8.284,0.9095,0.7369,
61,exp(TestAvgPooling)_gdbls_on_cifar100,"07/23/2022, 18:11:20",1283.52,14.105,6.838,0.6551,2.0223,
62,exp(TestAvgPooling)_gdbls_on_svhn,"07/23/2022, 18:52:25",1276.037,20.255,7.451,0.9657,0.599,
63,exp(TestOriginalPooling)_gdbls_on_cifar10,"07/23/2022, 21:38:01",1155.992,14.45,9.454,0.9125,0.7352,
64,exp(TestOriginalPooling)_gdbls_on_cifar100,"07/23/2022, 22:10:14",841.502,14.025,9.442,0.6344,2.0751,
65,exp(TestOriginalPooling)_gdbls_on_svhn,"07/23/2022, 22:54:15",1333.826,20.209,8.041,0.9614,0.6172,
66,exp(TestOriginalPooling)_gdbls_on_cifar10,"07/23/2022, 23:33:19",1112.402,14.447,7.508,0.913,0.7289,
67,exp(TestOriginalPooling)_gdbls_on_cifar100,"07/24/2022, 00:09:11",912.17,14.033,10.256,0.6491,2.0309,
68,exp(TestOriginalPooling)_gdbls_on_svhn,"07/24/2022, 01:09:11",1842.34,20.245,7.836,0.9643,0.6055,
69,exp(TestOriginalPooling)_gdbls_on_cifar10,"07/24/2022, 01:42:24",983.035,14.456,6.287,0.9089,0.7381,
70,exp(TestOriginalPooling)_gdbls_on_cifar100,"07/24/2022, 02:14:40",884.956,14.047,8.318,0.6465,2.0422,
71,exp(TestOriginalPooling)_gdbls_on_svhn,"07/24/2022, 03:19:14",2124.167,20.23,5.425,0.964,0.6026,
72,exp(TestOriginalPooling)_gdbls_on_cifar10,"07/24/2022, 03:51:14",911.574,14.469,7.321,0.9149,0.7299,
